episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
42,15330,73.3,-9186451.697212754,-11113670.043890774,0.5221749887648984,201268.01775741577,1606019.1467285156,2012680.181274414,171610.0,2265613.2536468506,3130529.103820801,9186451.685470581,0.9870697346172834,0.003724236968274023,0.03687353304734355,0.25438931015761274,0.4025923013687134,,0.018596,-12371525.488893464,3354713.0,0.009236655148316453,
43,15695,77.4,-8757055.371306604,-10884988.43908086,0.48312707687030376,180584.02813720703,1670217.9396972656,1805840.2781982422,159185.0,2177045.55859375,2944766.604007721,8757055.380496979,0.9614116165198778,0.004231125430746225,0.04229093852796053,0.17287324957157435,0.5258710384368896,,0.018488000000000004,-12371525.488893464,3354713.0,0.009236655148316453,
44,16060,77.9,-6274744.115741779,-10491121.569165904,0.707870415809201,137440.83464050293,1431495.9699707031,1374408.3442993164,192780.0,1970539.0792160034,1305520.72580719,6274744.119293213,0.9614116165198778,0.004231125430746225,0.04229093852796053,0.17287324957157435,0.5258710384368896,,0.018488000000000004,-12371525.488893464,3354713.0,0.009236655148316453,
45,16425,82.5,-8002337.12554654,-10173608.97583617,0.6169464975516374,164095.90686035156,1549237.5988769531,1640959.0784301758,171020.0,2299968.917739868,2341151.530395508,8002337.125442505,0.9344078553350348,0.003866643771336959,0.03608810693319691,0.09596816352323483,0.631348192691803,,0.018416000000000002,-12371525.488893464,3354713.0,0.009236655148316453,
46,16790,83.1,-6909884.072052605,-9826782.77311831,0.6890404234429994,130925.1762752533,1509060.6618652344,1309251.7647705078,175690.0,2289182.360229492,1626699.2846374512,6909884.071502686,0.9344078553350348,0.003866643771336959,0.03608810693319691,0.09596816352323483,0.631348192691803,,0.018416000000000002,-12371525.488893464,3354713.0,0.009236655148316453,
47,17155,83.7,-7127507.294236403,-9532425.04211894,0.680616879547055,135478.48709869385,1504180.240234375,1354784.8669433594,171820.0,2424049.4783325195,1672672.7014694214,7127507.286979675,0.9344078553350348,0.003866643771336959,0.03608810693319691,0.09596816352323483,0.631348192691803,,0.018416000000000002,-12371525.488893464,3354713.0,0.009236655148316453,
48,17520,88.3,-7709356.669205515,-9326233.25045782,0.5548501365163865,149718.58903503418,1646743.0192871094,1497185.894744873,155520.0,2157174.0616760254,2252733.68699646,7709356.662704468,0.9087216218835429,0.003751966981565745,0.03568789835921243,0.09215130980469678,0.6892593502998352,,0.018308000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
49,17885,88.8,-5646835.218611529,-9069999.294907045,0.7692089417290366,108362.17163467407,1401858.2978515625,1083621.7176513672,190630.0,2152145.108001709,818580.0990447998,5646835.2225494385,0.9087216218835429,0.003751966981565745,0.03568789835921243,0.09215130980469678,0.6892593502998352,,0.018308000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
50,18250,90.3,-7368468.378912858,-8806616.427935366,0.4962165764470615,138381.74969863892,1709664.6435546875,1383817.4875793457,153565.0,1846777.257637024,2274643.9790534973,7368468.367824554,0.9087216218835429,0.003751966981565745,0.03568789835921243,0.09215130980469678,0.6892593502998352,,0.018308000000000005,-3527554.2722465727,2373207.009737134,0.7681493460773011,False
51,18615,94.9,-7300451.60786543,-8533575.586065114,0.5414853810542638,131836.70838546753,1684079.0380859375,1318367.0924682617,151950.0,2037040.9942626953,2109014.4936828613,7300451.618499756,0.8915565202110692,0.002593029064452199,0.022670812733275324,0.10087895873737962,0.7406395673751831,,0.0182,-3527554.2722465727,2373207.009737134,0.7681493460773011,
52,18980,95.4,-5498532.760106278,-8303230.286254535,0.798926399731607,93855.12439727783,1403958.0717773438,938551.2490844727,191450.0,2337582.4229154587,626991.0273132324,5498532.7710905075,0.8915565202110692,0.002593029064452199,0.022670812733275324,0.10087895873737962,0.7406395673751831,,0.0182,-3527554.2722465727,2373207.009737134,0.7681493460773011,
53,19345,95.9,-6934588.709548765,-8061478.927899249,0.619895033325017,119187.99398040771,1636301.8310546875,1191879.938156128,153840.0,2152329.505706787,1800237.4342384338,6934588.709156036,0.8915565202110692,0.002593029064452199,0.022670812733275324,0.10087895873737962,0.7406395673751831,,0.0182,-3527554.2722465727,2373207.009737134,0.7681493460773011,
54,19710,100.1,-6002746.090882664,-7872083.991019065,0.7821171004503396,93260.85326004028,1458578.7958984375,932608.529083252,162635.0,2571938.2595825195,876985.5143280029,6002746.098892212,0.8419678940584785,0.002522226300722028,0.025223849145205396,0.07033996038923138,0.7652801871299744,,0.018092000000000004,-3527554.2722465727,2373207.009737134,0.7681493460773011,
