episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
21,7665,48.9,-13727229.701774053,-16162775.610760981,0.2209222745102517,335992.0715942383,1772608.1103515625,3359920.7021484375,231345.0,1957715.2955551147,6405640.601531982,13727229.709587097,1.2559423948589123,0.014252133466183486,0.043118660909577125,0.7838976602805289,0.11001348495483398,,0.019658000000000002,nan,nan,nan,
22,8030,49.5,-10781876.96585519,-15717232.036857236,0.11405597050081451,228238.67276763916,1855374.2114257812,2282386.731323242,228495.0,2203865.2426757812,4211755.783100128,10781876.968524933,1.2559423948589123,0.014252133466183486,0.043118660909577125,0.7838976602805289,0.11001348495483398,,0.019658000000000002,nan,nan,nan,
23,8395,54.9,-14075364.349951835,-15569578.408823302,0.18223187923006545,344186.3355102539,1785303.3568115234,3441863.3569335938,207325.0,1835426.783416748,6805445.837722778,14075364.334884644,1.122263037844708,0.009916971580375838,0.03588090866411987,0.5454415247628563,0.11642134189605713,,0.019604000000000003,nan,nan,nan,
24,8760,55.5,-13625192.276355013,-15402129.129691428,0.19752414003180518,338660.8624237776,1771657.5109863281,3386608.595765114,188365.0,1672976.031288147,6605585.095855713,13625192.233895302,1.122263037844708,0.009916971580375838,0.03588090866411987,0.5454415247628563,0.11642134189605713,,0.019604000000000003,nan,nan,nan,
25,9125,57.3,-13983377.265008442,-15220049.736177117,0.1707407733339762,348824.57666015625,1792202.3048095703,3488245.7729492188,186940.0,1629923.5996875763,6886065.596366882,13983377.273813248,1.122263037844708,0.009916971580375838,0.03588090866411987,0.5454415247628563,0.11642134189605713,,0.019604000000000003,-12371525.488893464,3354713.0,0.009236655148316453,False
26,9490,62.9,-14269444.901435208,-15020701.390151318,0.16370122852443003,365265.19662475586,1785839.2768554688,3652651.9521484375,171115.0,1767410.9411315918,6892427.724121094,14269444.894256592,1.014625448929636,0.004675119236133851,0.013411404797807336,0.7665843430318331,0.11877501010894775,,0.019550000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
27,9855,63.5,-11977770.628063159,-14727428.307942525,0.17588366705162517,293654.0764541626,1801775.7038574219,2936540.770385742,162795.0,1662133.7767944336,5414525.349761963,11977770.60079956,1.014625448929636,0.004675119236133851,0.013411404797807336,0.7665843430318331,0.11877501010894775,,0.019550000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
28,10220,64.1,-12701013.889681356,-14538501.005355174,0.26318647398794426,313728.5680541992,1730362.4470214844,3137285.691772461,170715.0,1688054.318206787,5974596.490234375,12701013.947235107,1.014625448929636,0.004675119236133851,0.013411404797807336,0.7665843430318331,0.11877501010894775,,0.019550000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
29,10585,69.6,-12017148.35701629,-14350401.26699914,0.20835495767904277,293474.6918640137,1784391.6633300781,2934746.920288086,160530.0,1731724.4474487305,5405755.326377869,12017148.357444763,0.9928473579256158,0.0024130426250657797,0.01670890941137546,0.49800170409051997,0.16838914155960083,,0.019496,-12371525.488893464,3354713.0,0.009236655148316453,
30,10950,70.1,-12799595.344489235,-14143999.366917744,0.2556667555292599,314800.8590840101,1736689.6628417969,3148008.5915727615,166285.0,1817364.127380371,5931247.979690552,12799595.361485481,0.9928473579256158,0.0024130426250657797,0.01670890941137546,0.49800170409051997,0.16838914155960083,,0.019496,-12371525.488893464,3354713.0,0.009236655148316453,
31,11315,75.6,-10837793.799650628,-13862157.328685164,0.39347881804229934,290717.73293596506,1625298.7727050781,2907177.310133457,176600.0,1579209.3812561035,4549508.318862915,10837793.782957554,1.0000952380268198,0.0032438860504809875,0.022156564812911183,0.3830959789062801,0.2335655689239502,,0.019460000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
32,11680,76.4,-9838638.760411248,-13616743.006585743,0.1846249388703134,218481.37837982178,1818039.9558105469,2184813.7864990234,158110.0,1768171.1775913239,3909503.844329834,9838638.764230728,1.0000952380268198,0.0032438860504809875,0.022156564812911183,0.3830959789062801,0.2335655689239502,,0.019460000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
33,12045,77.1,-11400713.49186174,-13413178.283023046,0.35650499067322194,270576.1380267143,1688455.513671875,2705761.386080742,175795.0,1907609.5237731934,4923092.086151123,11400713.509676933,1.0000952380268198,0.0032438860504809875,0.022156564812911183,0.3830959789062801,0.2335655689239502,,0.019460000000000005,-12371525.488893464,3354713.0,0.009236655148316453,
34,12410,82.6,-10826742.83161101,-13128959.193601394,0.28092109196272896,251664.6743927002,1763724.8229980469,2516646.7493896484,159355.0,1898365.9470825195,4488650.3409843445,10826742.86045456,0.9407021646436892,0.0027008745134815782,0.024680689773767403,0.231467186424293,0.3585308790206909,,0.019406,-12371525.488893464,3354713.0,0.009236655148316453,
35,12775,83.2,-9467101.06777886,-12862005.037672399,0.4872718657005056,236084.6439819336,1586789.7236328125,2360846.4427490234,179720.0,1905930.6871948242,3433814.199951172,9467101.053527832,0.9407021646436892,0.0027008745134815782,0.024680689773767403,0.231467186424293,0.3585308790206909,,0.019406,-12371525.488893464,3354713.0,0.009236655148316453,
36,13140,83.9,-9315694.78730092,-12558478.632868046,0.4974665240414975,225593.8102929592,1582837.1325683594,2255938.104882717,179525.0,1922089.1981811523,3375305.370071411,9315694.80570364,0.9407021646436892,0.0027008745134815782,0.024680689773767403,0.231467186424293,0.3585308790206909,,0.019406,-12371525.488893464,3354713.0,0.009236655148316453,
37,13505,89.2,-10442472.326227685,-12316971.221828768,0.44080788412250715,237189.72383117676,1637734.3044433594,2371897.244506836,174655.0,2198800.0710601807,4059385.6838378906,10442472.303848267,1.0271513148357994,0.004655562738853884,0.04007493405553855,0.1579416082485726,0.43862462043762207,,0.019352,-12371525.488893464,3354713.0,0.009236655148316453,
38,13870,89.9,-9615804.397315536,-12025294.070955649,0.48578900690420346,216848.94632041454,1621254.5979003906,2168489.4631586075,186015.0,2053447.6643218994,3586597.6787109375,9615804.404091835,1.0271513148357994,0.004655562738853884,0.04007493405553855,0.1579416082485726,0.43862462043762207,,0.019352,-12371525.488893464,3354713.0,0.009236655148316453,
39,14235,90.6,-8889457.984552577,-11769925.848656872,0.5407001383655234,198303.17456054688,1583574.166015625,1983031.740600586,189615.0,2018045.3208770752,3115191.7357788086,8889457.963272095,1.0271513148357994,0.004655562738853884,0.04007493405553855,0.1579416082485726,0.43862462043762207,,0.019352,-12371525.488893464,3354713.0,0.009236655148316453,
40,14600,96.8,-7693590.660560414,-11414301.18934502,0.6146310516629894,182849.08786904812,1496973.9110107422,1828490.8921413422,194900.0,1995097.1238861084,2178128.7305526733,7693590.657590866,1.0348789613497884,0.003724019237396485,0.037244562500793686,0.18494602508450808,0.5010232925415039,,0.019298000000000003,-12371525.488893464,3354713.0,0.009236655148316453,
41,14965,97.6,-8023804.788745429,-11129129.943693591,0.6024387299484981,171621.23686218262,1551313.2739257812,1716212.3639678955,196425.0,2107117.3340148926,2452736.83272171,8023804.80463028,1.0348789613497884,0.003724019237396485,0.037244562500793686,0.18494602508450808,0.5010232925415039,,0.019298000000000003,-12371525.488893464,3354713.0,0.009236655148316453,
42,15330,98.3,-9209920.605455916,-11050532.125673626,0.33834971997491203,191779.99531555176,1761080.0124511719,1917799.941772461,167630.0,2032049.9876708984,3331360.6594543457,9209920.601348877,1.0348789613497884,0.003724019237396485,0.037244562500793686,0.18494602508450808,0.5010232925415039,,0.019298000000000003,-12371525.488893464,3354713.0,0.009236655148316453,
43,15695,104.0,-7948839.665845482,-10744205.891468305,0.6265832134754793,157428.40961408615,1552764.2341308594,1574284.1089200974,191970.0,2384466.8482055664,2245354.480407715,7948839.671664238,0.9988095305467907,0.0036709321316984165,0.035691110711348686,0.09936945081541412,0.64072185754776,,0.019244000000000004,-12371525.488893464,3354713.0,0.009236655148316453,
44,16060,104.7,-7858778.973106813,-10455885.226305896,0.6406725850211462,152933.70041656494,1543854.1052246094,1529337.010559082,180005.0,2493167.9424438477,2112414.9266548157,7858778.984882355,0.9988095305467907,0.0036709321316984165,0.035691110711348686,0.09936945081541412,0.64072185754776,,0.019244000000000004,-12371525.488893464,3354713.0,0.009236655148316453,
45,16425,110.2,-8075407.337304974,-10160486.729920723,0.6251184298563635,157934.2315673828,1557453.6389160156,1579342.3148498535,189230.0,2495155.5096435547,2254225.87361145,8075407.337020874,0.9924009920735108,0.004144428887373483,0.04450346294202303,0.08853653857582494,0.7015367150306702,,0.019208000000000003,-12371525.488893464,3354713.0,0.009236655148316453,
46,16790,110.9,-6941453.812448673,-9794087.175471399,0.7008579344843872,129044.5025062561,1497571.2799072266,1290445.0294799805,195005.0,2430948.405723572,1527484.1105804443,6941453.825691223,0.9924009920735108,0.004144428887373483,0.04450346294202303,0.08853653857582494,0.7015367150306702,,0.019208000000000003,-12371525.488893464,3354713.0,0.009236655148316453,
47,17155,111.5,-8350692.026430995,-9612733.24538979,0.45226584236881073,157071.53344726562,1724072.3564453125,1570715.3317871094,167115.0,2219705.360321045,2669083.9626464844,8350692.011199951,0.9924009920735108,0.004144428887373483,0.04450346294202303,0.08853653857582494,0.7015367150306702,,0.019208000000000003,-12371525.488893464,3354713.0,0.009236655148316453,
48,17520,116.9,-7552849.083320982,-9355325.00507177,0.6651703400018731,144659.13664627075,1524952.2138671875,1446591.3660888672,172135.0,2538787.5674209595,1870382.9343185425,7552849.081695557,0.9283450402711567,0.0034889967095008806,0.03131505062705592,0.07738420396651093,0.7564308643341064,,0.019154000000000004,-12371525.488893464,3354713.0,0.009236655148316453,
49,17885,117.7,-5961115.854063132,-9052523.379924113,0.767525203968568,111349.38295435905,1406224.3204345703,1113493.836783886,199920.0,2367171.0675964355,874306.6186523438,5961115.843467236,0.9283450402711567,0.0034889967095008806,0.03131505062705592,0.07738420396651093,0.7564308643341064,,0.019154000000000004,-12371525.488893464,3354713.0,0.009236655148316453,
50,18250,119.5,-6593954.028074289,-8742241.314103365,0.7342696852552688,111734.0170135498,1496469.7338867188,1117340.1676483154,189655.0,2515951.3315353394,1274537.8001403809,6593954.033210754,0.9283450402711567,0.0034889967095008806,0.03131505062705592,0.07738420396651093,0.7564308643341064,,0.019154000000000004,-3261081.8333431007,2359022.0728916526,0.7935806811019579,False
51,18615,125.1,-5855301.190106053,-8493116.683626138,0.7734780294572645,108446.94035339355,1408456.6704101562,1084469.4054412842,196605.0,2285510.4750213623,880259.6479377747,5855301.198810577,0.976022343886526,0.0036697419319400644,0.033746284359183754,0.06016008653923085,0.7569454312324524,,0.0191,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
52,18980,125.8,-6174800.820147096,-8309924.78661293,0.7672948855645727,97999.80295753479,1465170.8312988281,979998.0284118652,181560.0,2522041.4399108887,1026030.5206756592,6174800.820297241,0.976022343886526,0.0036697419319400644,0.033746284359183754,0.06016008653923085,0.7569454312324524,,0.0191,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
53,19345,126.4,-6175083.803084813,-8048643.302174084,0.7638165692700816,101862.13473892212,1462911.0461425781,1018621.3456420898,170330.0,2488495.493713379,1034725.9143295288,6175083.799827576,0.976022343886526,0.0036697419319400644,0.033746284359183754,0.06016008653923085,0.7569454312324524,,0.0191,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
54,19710,132.0,-5519451.306290933,-7783278.725908078,0.8026463446828345,82976.94967079163,1446661.8413085938,829769.4925079346,181790.0,2323923.980834961,737305.9831542969,5519451.297805786,0.9009166861835279,0.0026615997807503413,0.0225830078125,0.05031844870628495,0.7940053939819336,,0.019046,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
55,20075,132.7,-5211377.994945515,-7570492.572266412,0.8109979873333995,90560.31436920166,1375334.9572753906,905603.1445770264,191420.0,2171292.017320633,567727.8830871582,5211378.002260208,0.9009166861835279,0.0026615997807503413,0.0225830078125,0.05031844870628495,0.7940053939819336,,0.019046,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
56,20440,133.5,-5296559.057233218,-7369535.785763027,0.8241720116475462,75761.29110527039,1427771.17578125,757612.9066162109,186610.0,2338785.185935974,585779.7949905396,5296559.063323975,0.9009166861835279,0.0026615997807503413,0.0225830078125,0.05031844870628495,0.7940053939819336,,0.019046,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
57,20805,139.2,-5725526.811658734,-7133688.510034579,0.7709435255651838,85421.34384155273,1512802.8552246094,854213.4367980957,156655.0,2301883.757080078,899971.7667236328,5725526.815826416,0.904175656406503,0.002574025635687193,0.019670185302139112,0.05318409135859264,0.7600835561752319,,0.018992000000000002,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
58,21170,139.9,-5085847.588951518,-6907190.669616377,0.8200451501967906,85721.312748909,1358933.1716308594,857213.1281585693,187525.0,2136586.536804199,545589.7518081665,5085847.588401794,0.904175656406503,0.002574025635687193,0.019670185302139112,0.05318409135859264,0.7600835561752319,,0.018992000000000002,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
59,21535,145.6,-5478944.990247111,-6736665.019901104,0.8157232253122402,77525.05483436584,1437124.111328125,775250.5416259766,171925.0,2432329.0704193115,662316.2595558167,5478944.98292923,0.8317998169284118,0.0024911032417213918,0.01936313562634352,0.04800963637075926,0.777867317199707,,0.018956,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
60,21900,146.3,-5313383.79378597,-6617654.676562383,0.7979887796527365,77726.24116325378,1484798.5771484375,777262.4161987305,148830.0,2194246.779144287,708246.028470993,5313383.800962448,0.8317998169284118,0.0024911032417213918,0.01936313562634352,0.04800963637075926,0.777867317199707,,0.018956,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
61,22265,147.1,-5456195.4517857805,-6489274.209714401,0.7586096079298449,79630.3453168869,1561673.0249023438,796303.4510421753,152585.0,2079843.0561618805,865790.9011001587,5456195.433206558,0.8317998169284118,0.0024911032417213918,0.01936313562634352,0.04800963637075926,0.777867317199707,,0.018956,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
62,22630,152.6,-5034917.117257376,-6280524.035304473,0.8336363154007247,74682.82074451447,1387510.7982177734,746828.2105255127,179885.0,2276418.9307556152,444274.1816253662,5034917.121124268,0.7713425300623241,0.0017073575907871647,0.014521816316501875,0.04996858488180136,0.7752193808555603,,0.018902000000000002,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
63,22995,153.2,-5026205.036996577,-6134392.303862027,0.8519205888469779,63090.4177570343,1403195.3293457031,630904.1808853149,159850.0,2441546.933868408,390708.5934753418,5026205.037574768,0.7713425300623241,0.0017073575907871647,0.014521816316501875,0.04996858488180136,0.7752193808555603,,0.018902000000000002,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
64,23360,153.9,-5717293.992051644,-6027318.0548092695,0.6817633316909376,85272.15174674988,1653202.3513183594,852721.518737793,161640.0,1938389.3750915527,1111340.7427062988,5717293.987854004,0.7713425300623241,0.0017073575907871647,0.014521816316501875,0.04996858488180136,0.7752193808555603,,0.018902000000000002,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
65,23725,159.8,-5537416.686223255,-5900418.522255183,0.7913699003462383,73928.49307250977,1528945.9157714844,739284.9325942993,153910.0,2399231.4692382812,716044.3790817261,5537416.696685791,0.7696847178434071,0.0020250021965885503,0.01668294271037571,0.05931795216900738,0.812461256980896,,0.018848000000000004,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
66,24090,160.7,-4962140.8235947285,-5801452.872812486,0.8646294384177404,57471.43654918671,1408618.0463867188,574714.3624343872,159305.0,2501581.2198638916,317922.1982040405,4962140.826889038,0.7696847178434071,0.0020250021965885503,0.01668294271037571,0.05931795216900738,0.812461256980896,,0.018848000000000004,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
67,24455,161.5,-5397162.612020385,-5653776.402091956,0.8019979073968196,68724.74432373047,1531821.6140136719,687247.4408569336,151150.0,2414149.7744750977,612793.7717437744,5397162.601089478,0.7696847178434071,0.0020250021965885503,0.01668294271037571,0.05931795216900738,0.812461256980896,,0.018848000000000004,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
68,24820,167.7,-5288312.382604807,-5540549.567056147,0.8521927187549522,64473.388271808624,1405378.6790771484,644733.8856525421,151570.0,2622892.951570511,463736.8551006317,5288312.371400833,0.711979110774241,0.001923836966517755,0.014966998163512662,0.034544639975616805,0.804347813129425,,0.018794000000000005,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
69,25185,168.4,-5044890.092130362,-5494738.278959509,0.8458674240128481,72695.08813858032,1373642.552734375,726950.8812866211,182355.0,2366075.3106918335,395866.3356781006,5044890.08039093,0.711979110774241,0.001923836966517755,0.014966998163512662,0.034544639975616805,0.804347813129425,,0.018794000000000005,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
70,25550,169.2,-5432971.771057885,-5436689.166108688,0.7559511198717194,72752.9235572815,1601593.087890625,727529.2374725342,151170.0,2141964.472766876,810714.9559650421,5432971.7540950775,0.711979110774241,0.001923836966517755,0.014966998163512662,0.034544639975616805,0.804347813129425,,0.018794000000000005,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
71,25915,175.1,-5030472.639551761,-5395447.738580974,0.8757127727085225,52547.0239648819,1408022.7814941406,525470.2416152954,160060.0,2629027.136413574,307892.4735965729,5030472.633119583,0.7815258314735011,0.0019056455402709329,0.009646231670079655,0.053374323062598705,0.8040406703948975,,0.01874,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
72,26280,175.8,-4975843.120019267,-5335499.853574583,0.8272958613768643,57997.67653656006,1537068.0544433594,579976.7633132935,143925.0,2240224.6452178955,474648.6233062744,4975843.086280823,0.7815258314735011,0.0019056455402709329,0.009646231670079655,0.053374323062598705,0.8040406703948975,,0.01874,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
73,26645,181.3,-5222419.005469142,-5287866.613693799,0.8074110074916034,62717.568355321884,1557411.720703125,627175.6787872314,150140.0,2299862.9688720703,587828.6330528259,5222419.001415253,0.6947088908208044,0.0017646765162154271,0.010763603354510116,0.04136099945753813,0.8361961245536804,,0.018704000000000005,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
74,27010,182.0,-4989801.705958256,-5261384.133677165,0.8793619026465896,51670.86539173126,1404827.73828125,516708.65576934814,171070.0,2624125.8296203613,273069.4849090576,4989801.708580017,0.6947088908208044,0.0017646765162154271,0.010763603354510116,0.04136099945753813,0.8361961245536804,,0.018704000000000005,-3261081.8333431007,2359022.0728916526,0.7935806811019579,
75,27375,183.8,-5122462.174169875,-5256938.342638383,0.7713323619003043,63997.21187496185,1615024.5629882812,639972.1222229004,150540.0,2069999.7665958405,646925.7297515869,5122462.181558609,0.6947088908208044,0.0017646765162154271,0.010763603354510116,0.04136099945753813,0.8361961245536804,,0.018704000000000005,-3193029.8339278465,2985289.748398781,0.8957559744251014,True
76,27740,189.3,-4899388.806367806,-5237079.830095112,0.8898222006121119,46294.83828020096,1413898.8143310547,462948.3816757202,161260.0,2636411.989162445,224869.61332702637,4899388.798496246,0.7392069195446215,0.001461714045992841,0.00929287023303148,0.05207460040324613,0.8312516212463379,,0.01865,-3193029.8339278465,2985289.748398781,0.8957559744251014,
