total_cost,holding_cost,stockout_cost,ordering_cost,overflow_cost,service_penalty_shaping,fill_rate,stockout_units,demand_units,n_order_events,avg_inventory,inventory_std,episode,policy
1658023.3027990162,763923.9639892578,794595.15234375,82090.0,17414.186466008425,1227183.3226623535,0.7636919849371724,79459.51529693604,336254.0,16418,2092.9423670938572,699.0282503762289,28,EOQ
1655384.5536032915,768815.8930664062,787785.6729736328,81960.0,16822.98756325245,1218805.7685546875,0.7656738787815727,78778.56734466553,336192.0,16392,2106.344912510702,688.5862903251468,29,EOQ
1426207.087609589,785353.2463378906,498643.5333709717,129520.0,12690.307900726795,354043.50773620605,0.8422318686969341,49864.35334777832,316061.0,25904,2151.652729692851,708.2764334468702,0,"(s,S)"
1427365.4107789993,733360.9028320312,542003.1031494141,136495.0,15506.404797554016,350621.5252838135,0.840490679424122,54200.31007575989,339794.0,27299,2009.207952964469,641.3967952141342,1,"(s,S)"
1430400.1379170418,760408.0662841797,521322.9228515625,133905.0,14764.148781299591,315111.44006347656,0.8452078527151634,52132.29249191284,336789.0,26781,2083.3097706415883,708.3222774698575,2,"(s,S)"
1438280.6718070507,779405.2133789062,514052.2042236328,131215.0,13608.254204511642,372796.15727233887,0.8413546433111824,51405.220346450806,324026.0,26243,2135.356748983305,722.3694018061229,3,"(s,S)"
1452756.015943408,762671.8124389648,538374.0557098389,135145.0,16565.1477946043,381123.4462738037,0.8411974311812027,53837.405683517456,339021.0,27029,2089.5118149012737,734.03069588755,4,"(s,S)"
1451441.9606769234,758531.6677246094,543787.6325683594,133070.0,16052.660383954644,384526.8081665039,0.8373193780159502,54378.76346874237,334267.0,26614,2078.1689526701625,735.0513465505871,5,"(s,S)"
1425536.124742642,755872.0467529297,522317.4389953613,133215.0,14131.63899435103,335188.0015487671,0.8438106649630557,52231.744097709656,334413.0,26643,2070.88231987104,735.6665418499039,6,"(s,S)"
1445205.051537186,801222.1491699219,502093.3855895996,128360.0,13529.516777664423,349648.454246521,0.8411549289305957,50209.338514328,316090.0,25672,2195.129175808005,784.095157246788,7,"(s,S)"
1434233.597367525,766412.1203613281,522289.47917175293,131660.0,13871.997834444046,371181.53706359863,0.8409622610005544,52228.94771385193,328406.0,26332,2099.7592338666523,703.0281030915041,8,"(s,S)"
1452902.8715929985,757275.62890625,542188.017288208,135040.0,18399.225398540497,349877.1727142334,0.8400724388568435,54218.80170631409,339021.0,27008,2074.7277504280823,724.7374889935411,9,"(s,S)"
1448648.2420319915,757566.4219970703,540099.7443389893,134860.0,16122.075695931911,375119.50426483154,0.8402142679120158,54009.97423171997,338015.0,26972,2075.52444382759,712.1511977920078,10,"(s,S)"
1435854.8470590115,781703.5845947266,508861.575881958,131465.0,13824.686582326889,370537.5713195801,0.8427668286034368,50886.15742492676,323635.0,26293,2141.6536564239086,702.8737858150662,11,"(s,S)"
1472525.4253611565,757412.7619628906,563946.0619354248,135365.0,15801.601462841034,414617.2929458618,0.8336309788059845,56394.606221199036,338973.0,27073,2075.103457432577,725.911928140584,12,"(s,S)"
1441857.1745414138,795248.1733398438,507312.2631072998,128605.0,10691.73809427023,417185.92361831665,0.8392724942954797,50731.226263046265,315635.0,25721,2178.762118739298,768.1024502661082,13,"(s,S)"
1428364.237523079,756376.8482666016,521475.6155395508,133890.0,16621.773716926575,328118.58447265625,0.844952587041679,52147.561542510986,336333.0,26778,2072.2653377167167,719.3785715792301,14,"(s,S)"
1439459.5652566552,758861.6694335938,532007.333984375,133340.0,15250.561838686466,359324.28495788574,0.8416555310601638,53200.73301887512,335981.0,26668,2079.073066941353,729.3167823760456,15,"(s,S)"
1451243.5102024078,764261.3129882812,536378.4941558838,134025.0,16578.703058242798,380056.52056884766,0.8408107887312265,53637.849601745605,336944.0,26805,2093.866610926798,740.9534452514416,16,"(s,S)"
1429875.800512284,733264.0861816406,542806.6838226318,137900.0,15905.030508011594,319508.74673461914,0.8425410427805711,54280.66886329651,344729.0,27580,2008.9427018675085,625.0009220094981,17,"(s,S)"
1423614.1497086287,733086.9829101562,538004.5374145508,136350.0,16172.629383921623,378242.4912261963,0.8417377703760288,53800.453649520874,339945.0,27270,2008.4574874250857,634.219285508041,18,"(s,S)"
1428676.2401108742,774395.0045166016,507365.7983856201,132135.0,14780.437208652496,334256.8688354492,0.8450356136142919,50736.57981777191,327408.0,26427,2121.6301493605524,712.0915925637393,19,"(s,S)"
1444581.1511332095,759834.2811279297,533967.3321228027,136140.0,14639.537882476987,407034.8123626709,0.8426546044419364,53396.73343658447,339360.0,27228,2081.737756514876,738.1571295635805,20,"(s,S)"
1436015.952961266,785410.9467773438,508722.3659667969,129455.0,12427.640217125409,429690.39750671387,0.8392205156028687,50872.23665809631,316410.0,25891,2151.810813088613,735.107969657429,21,"(s,S)"
1454671.4734356403,751754.6662597656,550990.9935073853,136765.0,15160.813668489456,447208.8684539795,0.8378059606143576,55099.09931373596,339711.0,27353,2059.601825369221,719.586446439965,22,"(s,S)"
1429188.5654063225,780161.0390625,504509.66290283203,131140.0,13377.863440990448,335468.02046203613,0.8430274850207972,50450.966314315796,321400.0,26228,2137.4275042808217,733.1539482511447,23,"(s,S)"
1444475.8200941384,760973.841796875,534601.0240478516,133590.0,15310.954249411821,369296.6038208008,0.8409834198445201,53460.1021156311,336192.0,26718,2084.8598405393836,733.3854268969407,24,"(s,S)"
1451427.3599986956,761806.9586181641,538937.895980835,135070.0,15612.505399696529,354058.0595703125,0.8409382198563405,53893.78953361511,338823.0,27014,2087.1423523785315,736.6009557059509,25,"(s,S)"
1433053.468323946,760371.5419921875,523984.9760131836,133655.0,15041.950318574905,350748.24758148193,0.8443652128496,52398.49759864807,336676.0,26731,2083.209704088185,727.2677388316064,26,"(s,S)"
