episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_fill
51,18615,48.4,-2020804.747223447,-2544911.02539284,0.9168690513258111,53054.800709724426,1320145.8464355469,35113.16163253784,115900.0,178395.0880060196,371250.6524963379,2020804.7485704422,0.6702116476862054,0.002086747349686017,0.02099555838657053,0.014010423941439703,0.9800131916999817,,0.0191,-2553729.0883914502,0.6562341990536207
52,18980,49.0,-2174431.722142066,-2485231.0513848364,0.8235037223933495,96394.57692718506,1029320.1899414062,62733.81567192078,175505.0,284000.2973895073,622872.418182373,2174431.7211852074,0.6702116476862054,0.002086747349686017,0.02099555838657053,0.014010423941439703,0.9800131916999817,,0.0191,-2553729.0883914502,0.6562341990536207
53,19345,49.7,-2026329.69493012,-2425360.122888415,0.9138457569357467,57596.7608499527,1270277.348022461,37505.11822795868,119345.0,205337.4460657835,393864.7833442688,2026329.695660472,0.6702116476862054,0.002086747349686017,0.02099555838657053,0.014010423941439703,0.9800131916999817,,0.0191,-2553729.0883914502,0.6562341990536207
54,19710,51.0,-1955563.8104467439,-2373100.334850888,0.878672203952319,74443.28506946564,1028242.5600585938,47554.328912734985,143595.0,253752.5301771164,482419.3935699463,1955563.8127183914,0.6545939029831636,0.0019259552712978085,0.016530890262832765,0.013519355720889411,0.9813612103462219,,0.019046,-2553729.0883914502,0.6562341990536207
55,20075,51.6,-1950299.9772868336,-2319414.8081061183,0.8577535011996962,73526.3546333313,1041878.26171875,50575.57329750061,155255.0,230372.0702908039,472219.0746688843,1950299.9799759388,0.6545939029831636,0.0019259552712978085,0.016530890262832765,0.013519355720889411,0.9813612103462219,,0.019046,-2553729.0883914502,0.6562341990536207
56,20440,52.3,-1918444.0366465962,-2269193.279737384,0.851286705879316,74167.163230896,1026536.2142333984,50644.131980895996,160310.0,223173.9059305191,457779.77852249146,1918444.030667305,0.6545939029831636,0.0019259552712978085,0.016530890262832765,0.013519355720889411,0.9813612103462219,,0.019046,-2553729.0883914502,0.6562341990536207
57,20805,53.6,-1934971.2147933189,-2224564.0592260985,0.9275251654729452,51193.850259780884,1291943.0295410156,32646.146193027496,110240.0,134206.9903627634,365935.0454559326,1934971.2115527391,0.7003559093726309,0.0022755756692851336,0.014698764738185625,0.011987028116556374,0.9842371344566345,,0.018992000000000002,-2553729.0883914502,0.6562341990536207
58,21170,54.2,-1916284.5476578881,-2190362.7476639384,0.9291990515303938,48280.939083099365,1305719.7274169922,31426.329503536224,107855.0,130990.72300243378,340292.7775001526,1916284.5574231148,0.7003559093726309,0.0022755756692851336,0.014698764738185625,0.011987028116556374,0.9842371344566345,,0.018992000000000002,-2553729.0883914502,0.6562341990536207
59,21535,55.6,-1873284.840920135,-2152730.404058878,0.8525253470629862,69142.11270523071,1029077.4592285156,47847.63283920288,160865.0,234967.48666262627,400527.2593078613,1873284.838038206,0.5497420092946604,0.001786148908841393,0.014870894607156515,0.009942814707756042,0.9867818355560303,,0.018956,-2553729.0883914502,0.6562341990536207
60,21900,56.2,-1845358.1577652642,-2118173.471684648,0.9101889161214437,62502.96507644653,1125825.7595214844,39647.02304649353,118750.0,153841.19832539558,407294.16522216797,1845358.1461155415,0.5497420092946604,0.001786148908841393,0.014870894607156515,0.009942814707756042,0.9867818355560303,,0.018956,-2553729.0883914502,0.6562341990536207
61,22265,56.8,-1826733.0460565374,-2086333.0702086254,0.9123350617003767,59007.36422538757,1137695.2043457031,37432.44376325607,117100.0,146303.01778519154,388202.3743133545,1826733.0402075052,0.5497420092946604,0.001786148908841393,0.014870894607156515,0.009942814707756042,0.9867818355560303,,0.018956,-2553729.0883914502,0.6562341990536207
62,22630,58.2,-1836418.8207736856,-2055962.3449109085,0.8566448556233759,70444.62621879578,1015037.2279052734,48481.601868629456,155035.0,197389.68057012744,420475.30853271484,1836418.8188767452,0.5492700432476244,0.0017697126292516355,0.01629237124794408,0.009151757584492626,0.9880769848823547,,0.018902000000000002,-2553729.0883914502,0.6562341990536207
63,22995,58.8,-1764292.1386132643,-2027861.2315669772,0.8486314440426761,75774.51286125183,989844.1524658203,50835.131067276,158320.0,181027.1538119316,384265.6976470947,1764292.1349921227,0.5492700432476244,0.0017697126292516355,0.01629237124794408,0.009151757584492626,0.9880769848823547,,0.018902000000000002,-2553729.0883914502,0.6562341990536207
64,23360,59.5,-1773402.4453532288,-1997131.8557911136,0.9252290131294564,48722.12567615509,1215267.0283203125,31471.541261672974,106880.0,107724.17107293007,312059.7049713135,1773402.445626229,0.5492700432476244,0.0017697126292516355,0.01629237124794408,0.009151757584492626,0.9880769848823547,,0.018902000000000002,-2553729.0883914502,0.6562341990536207
65,23725,60.8,-1798371.082214157,-1973209.320122265,0.8456952810287476,87066.82635116577,966367.6475830078,56479.36771583557,159795.0,166975.48795557022,448753.5754852295,1798371.078739643,0.5740411626665216,0.001208114679636645,0.009329277185698677,0.010023513416710653,0.9864099025726318,,0.018848000000000004,-2553729.0883914502,0.6562341990536207
66,24090,61.5,-1761411.2141890186,-1952169.4656242137,0.861677504239017,70861.41501522064,986979.9385986328,48278.01573562622,147800.0,165083.8834209442,413269.3709602356,1761411.2087154388,0.5740411626665216,0.001208114679636645,0.009329277185698677,0.010023513416710653,0.9864099025726318,,0.018848000000000004,-2553729.0883914502,0.6562341990536207
67,24455,62.1,-1720851.5731877587,-1931124.9758888532,0.8688006966081384,67319.27314758301,998736.365234375,46207.6072473526,143155.0,161073.41498327255,371679.18625831604,1720851.5737233162,0.5740411626665216,0.001208114679636645,0.009329277185698677,0.010023513416710653,0.9864099025726318,,0.018848000000000004,-2553729.0883914502,0.6562341990536207
68,24820,63.4,-1880132.9570861969,-1917843.8503439624,0.8401717200671157,91160.7438621521,956954.5201416016,58372.025674819946,163515.0,164284.19770288467,537007.2195281982,1880132.9630475044,0.6211117427600058,0.001183060856946165,0.008603547761020692,0.010524743959601773,0.9853126406669617,,0.018794000000000005,-2553729.0883914502,0.6562341990536207
69,25185,64.1,-1719709.5760490084,-1889719.1405637893,0.9334184068523041,42578.998413562775,1277451.0904541016,28084.514735221863,101260.0,77652.13017671183,235261.84980010986,1719709.585166145,0.6211117427600058,0.001183060856946165,0.008603547761020692,0.010524743959601773,0.9853126406669617,,0.018794000000000005,-2553729.0883914502,0.6562341990536207
70,25550,64.7,-1690354.6358732916,-1869372.5119604275,0.8883779764175415,63829.28527069092,1005757.9429931641,41572.18512630463,136280.0,169458.96146035194,337285.5505142212,1690354.6400940418,0.6211117427600058,0.001183060856946165,0.008603547761020692,0.010524743959601773,0.9853126406669617,,0.018794000000000005,-2553729.0883914502,0.6562341990536207
71,25915,66.1,-1838032.8836227073,-1860233.9187803909,0.8444509209018864,83599.53639030457,983551.6771240234,54076.13900566101,162690.0,187254.02504375577,450461.041885376,1838032.8830588162,0.5329240082125914,0.001351109605150812,0.009086475051988504,0.008123463050364271,0.9883896708488464,,0.01874,-2553729.0883914502,0.6562341990536207
72,26280,66.7,-1706892.0325527757,-1836856.9343009267,0.8630744778946654,61376.38949298859,1029068.4296875,42815.14007663727,149845.0,188220.01420217752,296943.4500579834,1706892.0340242982,0.5329240082125914,0.001351109605150812,0.009086475051988504,0.008123463050364271,0.9883896708488464,,0.01874,-2553729.0883914502,0.6562341990536207
